academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
numbers/calculation,False,research/innovation|stable career,lab-heavy,K13 IPA,apti_dataset_v2,Kehutanan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00069,78,79,84,,84,77,72,83,82,,80,84,70,64,,60,,,several strong subjects,,89,99,73,,63,IPA,synthetic_v2,Ilmu Terapan,Kehutanan,Kehutanan,P0341,research-focused
creative/art,True,public service|high salary potential,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Design|Education|Engineering,none,standard,S00070,91,70,76,,72,67,80,75,74,,96,77,77,,,81,,,balanced,,75,84,82,,69,IPA,synthetic_v2,Ilmu Terapan,Sains Data,Sains Data,P0472,lab work
social/human,False,remote/digital work|stable career,theory-heavy,K13 IPS,apti_dataset_v2,Teknik Metalurgi,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00071,72,,73,,72,71,79,67,59,,62,,61,70,,89,,,several strong subjects,,90,64,70,,77,IPA,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknik Metalurgi,P0293,teamwork
balanced,False,research/innovation|high salary potential,lab-heavy,K13 IPS,apti_dataset_v2,Aqidah dan Filsafat Islam,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00072,100,86,73,,91,,75,79,75,80,78,,77,75,,81,,,several strong subjects,,75,84,81,,100,Merdeka,synthetic_v2,Humaniora,Filsafat,Aqidah dan Filsafat Islam,P0056,research-focused
science/lab,False,high salary potential|remote/digital work,balanced,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00073,75,93,79,,88,71,81,,78,91,75,88,96,,,80,,,several strong subjects,,88,81,89,,85,IPA,synthetic_v2,Ilmu Alam,Fisika,Instrumentasi,P0116,teamwork
social/human,False,remote/digital work|high salary potential,balanced,K13 Bahasa,apti_dataset_v2,Linguistik Indonesia,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00074,,,67,,81,80,67,63,91,,66,65,57,78,,79,,,several strong subjects,,71,75,75,,65,Merdeka,synthetic_v2,Humaniora,Linguistik,Linguistik Indonesia,P0024,lab work
numbers/calculation,False,stable career|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00075,77,,71,,73,,77,73,72,80,65,79,68,79,,80,,,several strong subjects,,71,73,70,,,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Strategi,P0206,field work
social/human,False,helping people|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00076,64,79,69,,66,74,69,73,86,72,,,74,61,,72,,,several strong subjects,,69,79,56,,68,IPS,synthetic_v2,Humaniora,Linguistik,Bahasa Mandarin,P0030,field work
balanced,False,remote/digital work|public service,field-heavy,K13 IPA,apti_dataset_v2,Manajemen Informasi Kesehatan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00077,82,68,69,,81,72,72,,68,79,82,81,85,74,,62,,,several strong subjects,,64,67,100,,,IPS,synthetic_v2,Ilmu Terapan,Kesehatan,Manajemen Informasi Kesehatan,P0374,teamwork
science/lab,False,research/innovation|public service,field-heavy,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00078,,66,67,,69,84,71,76,72,69,,81,81,80,,61,,,several strong subjects,,68,58,76,,88,IPA,synthetic_v2,Ilmu Alam,Kimia,Kimia,P0084,lab work
numbers/calculation,False,helping people|remote/digital work,field-heavy,K13 IPS,apti_dataset_v2,Pendidikan Matematika,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,focused_average,S00079,64,78,75,,,85,93,,76,74,77,66,73,,,69,,82,several strong subjects,,81,76,63,,67,IPA,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Matematika,P0247,independent
balanced,False,helping people|research/innovation,balanced,K13 IPA,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S00080,68,71,67,,68,71,63,71,69,76,75,78,85,70,,76,,78,several strong subjects,,,88,54,,,IPA,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Agama Islam,P0274,independent
social/human,False,stable career|high salary potential,balanced,K13 IPS,apti_dataset_v2,Big Data Analytics,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,focused_average,S00081,77,74,76,,,83,71,,70,71,76,,73,80,,93,,,several strong subjects,,73,76,76,,73,IPS,synthetic_v2,Ilmu Terapan,Sains Data,Big Data Analytics,P0474,independent
creative/art,False,remote/digital work|high salary potential,field-heavy,K13 Bahasa,apti_dataset_v2,Teknologi Kopi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00082,77,70,66,,,60,78,79,75,81,78,77,85,60,,69,,,several strong subjects,,,67,81,,,IPS,synthetic_v2,Ilmu Terapan,Sains Perkopian,Teknologi Kopi,P0478,independent
science/lab,True,research/innovation|remote/digital work,theory-heavy,K13 Bahasa,apti_dataset_v2,,Designer Creative Director,creative_design|engineering|hands_on|technology_digital|visual_design,Business|Design|Engineering|Technology,none,focused_average,S00083,55,74,77,,,71,74,62,71,71,83,,80,81,,89,,,balanced,,,75,64,,72,Bahasa,synthetic_v2,Ilmu Terapan,Desain,Desain Grafis,P0185,independent
science/lab,False,high salary potential|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00084,83,72,74,,,74,63,69,80,75,65,58,74,76,,79,,,several strong subjects,,80,74,66,,74,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Veteriner,Kedokteran Hewan,P0349,field work
language/writing,True,high salary potential|remote/digital work,field-heavy,K13 Bahasa,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Business|Engineering|Social|Technology,none,standard,S00085,77,72,83,,78,75,61,,73,87,80,81,77,74,,73,,,balanced,,,59,70,,58,IPS,synthetic_v2,Ilmu Terapan,Informatika Medis atau Informatika Kesehatan,Informatika Medis,P0457,field work
balanced,False,high salary potential|stable career,lab-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00086,87,83,72,,84,77,61,76,74,79,,,75,68,,74,,,several strong subjects,,89,74,74,,76,IPS,synthetic_v2,Ilmu Terapan,Peternakan,Produksi Ternak,P0165,lab work
science/lab,False,stable career|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00087,66,75,69,,70,61,75,81,76,,74,75,65,85,,88,,,several strong subjects,,60,77,68,,74,IPA,synthetic_v2,Ilmu Terapan,Keperawatan,Keperawatan,P0368,research-focused
balanced,False,research/innovation|high salary potential,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,Keperawatan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00088,66,73,78,,91,71,76,67,75,74,81,57,78,63,,85,,,several strong subjects,,80,72,84,,87,Merdeka,synthetic_v2,Ilmu Terapan,Keperawatan,Keperawatan,P0368,lab work
balanced,False,stable career|remote/digital work,balanced,Kurikulum Merdeka,apti_dataset_v2,,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S00089,86,89,84,,85,94,76,80,90,99,82,81,95,,,83,,,several strong subjects,,99,86,94,,87,Bahasa,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknologi Rekayasa Otomasi,P0326,lab work
creative/art,False,high salary potential|stable career,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00090,76,69,82,,,,82,75,68,71,79,69,71,75,,77,,,several strong subjects,,76,72,85,,73,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran Gigi,Kedokteran Gigi,P0348,research-focused
balanced,False,high salary potential|public service,theory-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00091,80,,69,,73,73,80,85,76,67,75,90,89,54,,72,,,several strong subjects,,81,89,94,,87,IPS,synthetic_v2,Humaniora,Filsafat,Filsafat Keilahian,P0055,research-focused
language/writing,False,high salary potential|public service,lab-heavy,K13 Bahasa,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,focused_average,S00092,,62,72,,71,,79,,66,81,83,82,73,80,,80,,,several strong subjects,,,71,74,,79,IPA,synthetic_v2,Ilmu Terapan,Sains Data,Analitika Data,P0473,field work
social/human,False,helping people|public service,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00093,70,77,64,,83,65,56,,58,71,69,70,72,75,,73,,,several strong subjects,,78,76,60,,72,IPA,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Kesehatan Reproduksi,P0366,field work
creative/art,False,remote/digital work|stable career,lab-heavy,K13 IPA,apti_dataset_v2,Sanitasi Lingkungan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00094,81,72,74,,85,78,73,,64,,,75,83,,,94,,,several strong subjects,,73,80,82,,68,Bahasa,synthetic_v2,Ilmu Terapan,Kesehatan,Sanitasi Lingkungan,P0384,research-focused
balanced,True,research/innovation|high salary potential,field-heavy,K13 IPS,apti_dataset_v2,Administrasi Asuransi dan Aktuaria,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Education|Engineering|Technology,none,standard,S00095,,,79,,,82,90,86,72,89,,90,95,86,,84,,,balanced,,78,85,75,,86,Merdeka,synthetic_v2,Ilmu Terapan,Administrasi Bisnis,Administrasi Asuransi dan Aktuaria,P0220,research-focused
language/writing,False,helping people|research/innovation,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Pariwisata Bahari,Tourism Planner Hotel Manager,communication_media|environment_field|health_life_science|research_analysis|tourism_hospitality,Environment|Health|Media|Tourism,none,standard,S00096,65,75,76,,83,83,66,80,73,68,65,70,74,,,55,,,several strong subjects,,69,80,73,,71,IPS,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Pariwisata Bahari,P0102,research-focused
creative/art,False,public service|high salary potential,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00097,80,72,66,,,64,80,77,76,64,70,,78,80,,75,,,several strong subjects,,90,64,77,,,Merdeka,synthetic_v2,Ilmu Terapan,Arsitektur,Arsitektur,P0173,research-focused
creative/art,True,high salary potential|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,focused_average,S00098,62,80,80,,81,77,88,,75,70,80,70,95,73,,67,,,balanced,,73,66,71,,,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Lingkungan,Manajemen Bencana,P0339,field work
numbers/calculation,False,remote/digital work|research/innovation,theory-heavy,K13 IPA,apti_dataset_v2,,Ahli Gizi Nutritionist,engineering|hands_on|health_nutrition|helping_people|technology_digital,Engineering|Technology,none,standard,S00099,74,84,85,,91,82,80,79,76,77,64,91,87,69,,77,,,several strong subjects,,90,82,86,,70,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Gizi,Gizi,P0356,independent
language/writing,False,research/innovation|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Ahli Gizi Nutritionist,engineering|hands_on|health_nutrition|helping_people|technology_digital,Engineering|Technology,none,standard,S00100,77,77,96,,,100,73,78,78,86,71,70,95,70,,85,,,several strong subjects,,78,73,73,,82,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Gizi,Gizi,P0356,teamwork
creative/art,False,helping people|remote/digital work,balanced,K13 IPS,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Engineering|Technology,none,standard,S00101,90,82,83,,90,85,86,81,80,75,78,57,77,87,,79,,,several strong subjects,,79,85,84,,,IPS,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Rekayasa Hayati,P0448,research-focused
balanced,False,high salary potential|remote/digital work,field-heavy,K13 IPA,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S00102,78,,82,,80,77,72,65,81,,70,81,69,76,,74,,,several strong subjects,,55,65,79,,71,IPS,synthetic_v2,Ilmu Sosial,Sosial,Antropologi,P0058,independent
creative/art,True,stable career|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Education|Engineering|Social,none,standard,S00103,56,75,66,,80,,69,64,72,81,63,67,59,70,,68,,,balanced,,65,66,58,,69,Bahasa,synthetic_v2,Ilmu Terapan,Sains Data,Data Engineering,P0476,teamwork
science/lab,False,high salary potential|remote/digital work,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00104,82,66,75,,87,82,80,73,69,70,81,74,61,79,,81,,,several strong subjects,,71,91,77,,79,Bahasa,synthetic_v2,Ilmu Terapan,Sains Perkopian,Sains Perkopian,P0477,independent
social/human,False,remote/digital work|stable career,practical/project-heavy,K13 IPA,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S00105,95,58,82,,,78,84,81,86,86,88,91,92,,,100,,,several strong subjects,,,86,84,,79,Bahasa,synthetic_v2,Ilmu Sosial,Ekonomi,Keuangan Publik,P0076,teamwork
language/writing,False,remote/digital work|public service,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00106,82,91,79,,87,84,95,85,81,84,66,84,87,96,,81,,,several strong subjects,,77,71,68,,,Merdeka,synthetic_v2,Ilmu Terapan,Kebidanan,Kebidanan,P0367,teamwork
balanced,False,remote/digital work|public service,field-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00107,,,82,,81,73,82,,83,87,82,85,71,73,,72,,,several strong subjects,,74,76,75,,74,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Informasi,Dokumentasi,P0389,independent
balanced,False,helping people|stable career,practical/project-heavy,K13 IPS,apti_dataset_v2,Teknologi Rekayasa Konstruksi,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00108,78,65,83,,85,,72,,84,77,83,68,87,75,,82,,,several strong subjects,,92,90,76,,83,Merdeka,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknologi Rekayasa Konstruksi,P0324,independent
social/human,True,stable career|remote/digital work,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,standard,S00109,74,66,71,,76,70,78,72,58,69,85,82,84,71,,66,,,balanced,,61,65,72,,66,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Veteriner,Kedokteran Hewan,P0349,field work
numbers/calculation,False,helping people|research/innovation,field-heavy,K13 Bahasa,apti_dataset_v2,Kesehatan Reproduksi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00110,85,,72,,93,68,82,84,72,,80,82,76,73,,89,,,several strong subjects,,,90,67,,71,Merdeka,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Kesehatan Reproduksi,P0366,lab work
numbers/calculation,True,research/innovation|helping people,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Design|Engineering|Technology,none,standard,S00111,63,75,77,,74,74,61,88,77,69,68,58,60,72,,71,,,balanced,,78,64,64,,68,IPA,synthetic_v2,Ilmu Terapan,Peternakan,Nutrisi dan Teknologi Pakan,P0164,lab work
social/human,False,remote/digital work|public service,balanced,K13 IPA,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S00112,68,84,81,,79,84,96,89,73,88,88,89,79,78,,70,,,several strong subjects,,62,89,72,,85,Merdeka,synthetic_v2,Ilmu Sosial,Pertahanan,Ekonomi Pertahanan,P0079,research-focused
social/human,True,public service|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Engineering|Social|Technology,none,standard,S00113,68,72,91,,78,,84,73,83,82,61,,80,80,,76,,,balanced,,63,74,87,,92,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Strategi Pertahanan,P0398,independent
